TSA,tsa_id,bioproject,biosample,sex,stage,tissue
GECU00000000.1,GECU,PRJNA303151,SAMN04292972,None,adult,None
GECU00000000.1,GECU,PRJNA303151,SAMN04292973,None,None,whole organism
GECU00000000.1,GECU,PRJNA303151,SAMN04292973,None,adult,None
GECZ00000000.1,GECZ,PRJNA303150,SAMN04293493,None,None,whole organism
GECZ00000000.1,GECZ,PRJNA303150,SAMN04293493,None,adult,None
GECZ00000000.1,GECZ,PRJNA303150,SAMN04293494,None,None,whole organism
GECZ00000000.1,GECZ,PRJNA303150,SAMN04293494,None,adult,None
GECZ00000000.1,GECZ,PRJNA303150,SAMN04293495,None,None,whole organism
GECZ00000000.1,GECZ,PRJNA303150,SAMN04293495,None,adult,None
GEDC00000000.1,GEDC,PRJNA303152,SAMN04607348,None,None,whole body
GEDC00000000.1,GEDC,PRJNA303152,SAMN04607348,None,adult,None
GEDC00000000.1,GEDC,PRJNA303152,SAMN04607348,female,None,None
GEDC00000000.1,GEDC,PRJNA303152,SAMN04607357,None,None,whole body
GEDC00000000.1,GEDC,PRJNA303152,SAMN04607357,male,None,None
GEDC00000000.1,GEDC,PRJNA303152,SAMN04607362,None,None,whole body
GEDC00000000.1,GEDC,PRJNA303152,SAMN04607362,male,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435271,-,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435271,None,None,whole
GELG00000000.1,GELG,PRJNA317427,SAMN04435272,-,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435272,None,None,whole
GELG00000000.1,GELG,PRJNA317427,SAMN04435273,-,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435273,None,None,whole
GELG00000000.1,GELG,PRJNA317427,SAMN04435274,male,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435274,None,None,head+thorax
GELG00000000.1,GELG,PRJNA317427,SAMN04435275,male,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435275,None,None,head+thorax
GELG00000000.1,GELG,PRJNA317427,SAMN04435276,male,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435276,None,None,head+thorax
GELG00000000.1,GELG,PRJNA317427,SAMN04435277,male,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435277,None,None,abdomen
GELG00000000.1,GELG,PRJNA317427,SAMN04435278,male,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435278,None,None,abdomen
GELG00000000.1,GELG,PRJNA317427,SAMN04435279,male,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435279,None,None,abdomen
GELG00000000.1,GELG,PRJNA317427,SAMN04435280,male,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435280,None,None,head+thorax
GELG00000000.1,GELG,PRJNA317427,SAMN04435281,male,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435281,None,None,head+thorax
GELG00000000.1,GELG,PRJNA317427,SAMN04435282,male,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435282,None,None,head+thorax
GELG00000000.1,GELG,PRJNA317427,SAMN04435283,male,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435283,None,None,abdomen
GELG00000000.1,GELG,PRJNA317427,SAMN04435284,male,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435284,None,None,abdomen
GELG00000000.1,GELG,PRJNA317427,SAMN04435285,male,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435285,None,None,abdomen
GELG00000000.1,GELG,PRJNA317427,SAMN04435286,female,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435286,None,None,head+thorax
GELG00000000.1,GELG,PRJNA317427,SAMN04435287,female,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435287,None,None,head+thorax
GELG00000000.1,GELG,PRJNA317427,SAMN04435288,female,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435288,None,None,head+thorax
GELG00000000.1,GELG,PRJNA317427,SAMN04435289,female,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435289,None,None,abdomen
GELG00000000.1,GELG,PRJNA317427,SAMN04435290,female,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435290,None,None,abdomen
GELG00000000.1,GELG,PRJNA317427,SAMN04435291,female,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435291,None,None,abdomen
GELG00000000.1,GELG,PRJNA317427,SAMN04435292,female,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435292,None,None,head+thorax
GELG00000000.1,GELG,PRJNA317427,SAMN04435293,female,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435293,None,None,head+thorax
GELG00000000.1,GELG,PRJNA317427,SAMN04435294,female,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435294,None,None,head+thorax
GELG00000000.1,GELG,PRJNA317427,SAMN04435295,female,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435295,None,None,abdomen
GELG00000000.1,GELG,PRJNA317427,SAMN04435296,female,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435296,None,None,abdomen
GELG00000000.1,GELG,PRJNA317427,SAMN04435297,female,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435297,None,None,abdomen
GELG00000000.1,GELG,PRJNA317427,SAMN04435298,male,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435298,None,None,head+thorax
GELG00000000.1,GELG,PRJNA317427,SAMN04435299,male,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435299,None,None,head+thorax
GELG00000000.1,GELG,PRJNA317427,SAMN04435300,male,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435300,None,None,head+thorax
GELG00000000.1,GELG,PRJNA317427,SAMN04435301,male,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435301,None,None,abdomen
GELG00000000.1,GELG,PRJNA317427,SAMN04435302,male,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435302,None,None,abdomen
GELG00000000.1,GELG,PRJNA317427,SAMN04435303,male,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435303,None,None,abdomen
GELG00000000.1,GELG,PRJNA317427,SAMN04435304,male,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435304,None,None,head+thorax
GELG00000000.1,GELG,PRJNA317427,SAMN04435305,male,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435305,None,None,head+thorax
GELG00000000.1,GELG,PRJNA317427,SAMN04435306,male,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435306,None,None,head+thorax
GELG00000000.1,GELG,PRJNA317427,SAMN04435307,male,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435307,None,None,abdomen
GELG00000000.1,GELG,PRJNA317427,SAMN04435308,male,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435308,None,None,abdomen
GELG00000000.1,GELG,PRJNA317427,SAMN04435309,male,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435309,None,None,abdomen
GELG00000000.1,GELG,PRJNA317427,SAMN04435310,female,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435310,None,None,head+thorax
GELG00000000.1,GELG,PRJNA317427,SAMN04435311,female,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435311,None,None,head+thorax
GELG00000000.1,GELG,PRJNA317427,SAMN04435312,female,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435312,None,None,head+thorax
GELG00000000.1,GELG,PRJNA317427,SAMN04435313,female,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435313,None,None,abdomen
GELG00000000.1,GELG,PRJNA317427,SAMN04435314,female,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435314,None,None,abdomen
GELG00000000.1,GELG,PRJNA317427,SAMN04435315,female,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435315,None,None,abdomen
GELG00000000.1,GELG,PRJNA317427,SAMN04435316,female,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435316,None,None,head+thorax
GELG00000000.1,GELG,PRJNA317427,SAMN04435317,female,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435317,None,None,head+thorax
GELG00000000.1,GELG,PRJNA317427,SAMN04435318,female,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435318,None,None,head+thorax
GELG00000000.1,GELG,PRJNA317427,SAMN04435319,female,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435319,None,None,abdomen
GELG00000000.1,GELG,PRJNA317427,SAMN04435320,female,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435320,None,None,abdomen
GELG00000000.1,GELG,PRJNA317427,SAMN04435321,female,None,None
GELG00000000.1,GELG,PRJNA317427,SAMN04435321,None,None,abdomen
GEUD00000000.1,GEUD,PRJNA309272,SAMN04435271,-,None,None
GEUD00000000.1,GEUD,PRJNA309272,SAMN04435271,None,None,whole
GEUH00000000.1,GEUH,PRJNA309272,SAMN04435272,-,None,None
GEUH00000000.1,GEUH,PRJNA309272,SAMN04435272,None,None,whole
GEUE00000000.1,GEUE,PRJNA309272,SAMN04435273,-,None,None
GEUE00000000.1,GEUE,PRJNA309272,SAMN04435273,None,None,whole
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009840,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009840,None,None,muscle (abdominal)
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009840,None,larval - 4th instar - late (post head capsule slippage),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009841,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009841,None,None,muscle (abdominal)
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009841,None,larval - 5th instar - early (within 12 h post-molt),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009842,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009842,None,None,muscle (abdominal)
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009842,None,larval - 5th instar late (pre-wandering),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009843,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009843,None,None,muscle (abdominal)
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009843,None,larval - 5th instar (wandering stage),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009844,male,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009844,None,None,testes
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009844,None,pupal - early (3 days post pupation)- testes,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009845,male,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009845,None,None,testes
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009845,None,pupal - late - (15-18 days post pupation)- testes,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009846,male,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009846,None,None,testes
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009846,None,adult - early - (1-3 days post eclosion) - testes,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009847,female,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009847,None,None,ovaries
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009847,None,pupal - late - (15-18 days post pupation) - ovaries,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009848,female,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009848,None,None,ovaries
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009848,None,adult - early - (1 day post eclosion) - ovaries,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009849,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009849,None,None,midgut
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009849,None,larval - 5th instar (wandering stage),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009850,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009850,None,None,midgut
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009850,None,pupal - early (1 day post pupation),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009851,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009851,None,None,midgut
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009851,None,pupal - late (15-18 days post pupation),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009852,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009852,None,None,midgut
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009852,None,adult - early- mid age (3-5 days post eclosion),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009853,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009853,None,None,fatbody
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009853,None,larval - 4th instar - late (post head capsule slippage),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009854,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009854,None,None,fatbody
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009854,None,larval - 5th instar - early (1 day post-molt),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009855,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009855,None,None,fatbody
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009855,None,larval - 5th instar - late (pre-wandering),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009856,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009856,None,None,fatbody
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009856,None,larval - 5th instar - (wandering stage),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009857,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009857,None,None,fatbody
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009857,None,pupal - late (15-18 days post pupation),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009858,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009858,None,None,fatbody
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009858,None,adult - early (1-3 days post eclosion),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009859,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009859,None,None,fatbody
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009859,None,adult - mid age (7-9 days post eclosion),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009860,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009860,None,None,brain/head
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009860,None,2nd instar heads (1day post-molt),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009861,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009861,None,None,brain/head
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009861,None,3rd instar heads (1day post-molt),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009862,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009862,None,None,brain/head
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009862,None,4th _ early instar heads (molt within 12h),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009863,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009863,None,None,brain/head
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009863,None,4th _ late instar heads (when head capsule slipped),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009864,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009864,None,None,brain (heads with antennae)
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009864,None,pupal - pharate (before eclosion),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009865,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009865,None,None,brain (heads with antennae)
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009865,None,adult - early (1 day post eclosion),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009866,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009866,None,None,brain (heads with antennae)
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009866,None,adult - middle age (3 days post eclosion),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009867,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009867,None,None,brain (heads with antennae)
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009867,None,adult - middle age (7 days post eclosion),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009868,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009868,None,None,malpighian tubules
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009868,None,larval - 5th instar - late (pre-wandering),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009869,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009869,None,None,malpighian tubules
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009869,None,adult - early (1 day post eclosion),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009870,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009870,None,None,malpighian tubules
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009870,None,adult - middle age (3 days post eclosion),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009871,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009871,None,None,midgut
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009871,None,2nd instar larvae,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009872,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009872,None,None,midgut
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009872,None,larval - early 4th instar (immediately post molt) - oral - mock infected - (stress control),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009873,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009873,None,None,egg / embryo
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009873,None,early egg (laid within 3h),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009874,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009874,None,None,egg / embryo
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009874,None,late egg (before hatch),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009875,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009875,None,None,whole larva
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009875,None,1st instar larva (1d post molt),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009876,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009876,None,None,whole larva
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009876,None,2nd instar larva (1d post molt),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009877,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009877,None,None,whole larva
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009877,None,3nd instar larva (1d post molt),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009878,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009878,None,None,fatbody
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009878,None,pupal - early (1-3d old),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009879,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009879,None,None,brain (heads)
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009879,None,larval-5th - early instar heads (molted within 12h),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009880,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009880,None,None,brain (heads)
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009880,None,larval-5th - mid instar heads (2d after molting),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009881,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009881,None,None,brain (heads)
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009881,None,larval-5th - pre-wandering heads,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009882,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009882,None,None,muscle (from abdomen)
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009882,None,larval - 5th instar early (molt within 12h),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009883,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009883,None,None,muscle (from abdomen)
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009883,None,larval - 5th instar late (before wandering),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009884,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009884,None,None,muscle (from abdomen)
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009884,None,larval - 5th instar wandering,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009885,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009885,None,None,midgut
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009885,None,larval - 3rd instar late (when head capsule slipped),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009886,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009886,None,None,midgut
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009886,None,larval - 4th instar early (molt within 12h),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009887,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009887,None,None,midgut
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009887,None,larval - 4th instar late (when head capsule slipped),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009888,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009888,None,None,midgut
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009888,None,larval - 5th instar early (1-3 h post molt),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009889,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009889,None,None,midgut
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009889,None,larval - 5th instar early (24h post molt),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009890,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009890,None,None,midgut
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009890,None,larval - 5th instar late (pre-wandering),None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009891,not collected,None,None
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009891,None,None,midgut
GEUF00000000.1,GEUF,PRJNA309272,SAMN03009891,None,larval - 5th instar wandering,None
GETI00000000.1,GETI,PRJNA81039,SAMN03704890,None,adult,None
GETI00000000.1,GETI,PRJNA81039,SAMN03704890,male,None,None
GETI00000000.1,GETI,PRJNA81039,SAMN03704890,None,None,fat body
GETI00000000.1,GETI,PRJNA81039,SAMN03704948,None,adult,None
GETI00000000.1,GETI,PRJNA81039,SAMN03704948,male,None,None
GETI00000000.1,GETI,PRJNA81039,SAMN03704948,None,None,fat body
GETI00000000.1,GETI,PRJNA81039,SAMN03704952,None,adult,None
GETI00000000.1,GETI,PRJNA81039,SAMN03704952,male,None,None
GETI00000000.1,GETI,PRJNA81039,SAMN03704952,None,None,hemocyte
GETI00000000.1,GETI,PRJNA81039,SAMN03704957,None,adult,None
GETI00000000.1,GETI,PRJNA81039,SAMN03704957,male,None,None
GETI00000000.1,GETI,PRJNA81039,SAMN03704957,None,None,hemocyte
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214487,None,None,pupal head
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214487,None,pupal,None
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214487,not determined,None,None
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214488,None,None,pupal head
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214488,None,pupal,None
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214488,not determined,None,None
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214489,None,None,pupal head
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214489,None,pupal,None
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214489,not determined,None,None
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214490,None,None,pupal head
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214490,None,pupal,None
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214490,not determined,None,None
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214491,None,None,pupal head
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214491,None,pupal,None
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214491,not determined,None,None
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214492,None,None,pupal head
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214492,None,pupal,None
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214492,not determined,None,None
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214493,None,None,pupal head
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214493,None,pupal,None
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214493,not determined,None,None
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214522,None,None,pupal head
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214522,None,pupal,None
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214522,not determined,None,None
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214655,None,None,pupal head
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214655,None,pupal,None
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214655,not determined,None,None
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214656,None,None,pupal head
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214656,None,pupal,None
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214656,not determined,None,None
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214657,None,None,pupal head
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214657,None,pupal,None
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214657,not determined,None,None
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214658,None,None,pupal head
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214658,None,pupal,None
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214658,not determined,None,None
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214659,None,None,pupal head
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214659,None,pupal,None
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214659,not determined,None,None
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214660,None,None,pupal head
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214660,None,pupal,None
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214660,not determined,None,None
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214661,None,None,pupal head
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214661,None,pupal,None
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214661,not determined,None,None
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214662,None,None,pupal head
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214662,None,pupal,None
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214662,not determined,None,None
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214684,None,None,pupal head
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214684,None,pupal,None
GDIO00000000.1,GDIO,PRJNA283919,SAMN05214684,not determined,None,None
GETQ00000000.1,GETQ,PRJNA324814,SAMN04005136,None,None,"head, thorax, forelegs"
GETQ00000000.1,GETQ,PRJNA324814,SAMN04005136,not determined,None,None
